Age,Sex,Fare,Name,Cabin,Parch,SibSp,Pclass,Ticket,Embarked,Survived,PassengerId
,female,7.8792,"O'Dwyer, Miss. Ellen ""Nellie""",,0,0,3,330959,Q,1,29
,male,7.8958,"Todoroff, Mr. Lalio",,0,0,3,349216,S,0,30
40.0,male,27.7208,"Uruchurtu, Don. Manuel E",,0,0,1,PC 17601,C,0,31
,female,146.5208,"Spencer, Mrs. William Augustus (Marie Eugenie)",B78,0,1,1,PC 17569,C,1,32
,female,7.75,"Glynn, Miss. Mary Agatha",,0,0,3,335677,Q,1,33
66.0,male,10.5,"Wheadon, Mr. Edward H",,0,0,2,C.A. 24579,S,0,34
28.0,male,82.1708,"Meyer, Mr. Edgar Joseph",,0,1,1,PC 17604,C,0,35
42.0,male,52.0,"Holverson, Mr. Alexander Oskar",,0,1,1,113789,S,0,36
,male,7.2292,"Mamee, Mr. Hanna",,0,0,3,2677,C,1,37
21.0,male,8.05,"Cann, Mr. Ernest Charles",,0,0,3,A./5. 2152,S,0,38
18.0,female,18.0,"Vander Planke, Miss. Augusta Maria",,0,2,3,345764,S,0,39
14.0,female,11.2417,"Nicola-Yarred, Miss. Jamila",,0,1,3,2651,C,1,40
40.0,female,9.475,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",,0,1,3,7546,S,0,41
27.0,female,21.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",,0,1,2,11668,S,0,42
,male,7.8958,"Kraeff, Mr. Theodor",,0,0,3,349253,C,0,43
3.0,female,41.5792,"Laroche, Miss. Simonne Marie Anne Andree",,2,1,2,SC/Paris 2123,C,1,44
19.0,female,7.8792,"Devaney, Miss. Margaret Delia",,0,0,3,330958,Q,1,45
,male,8.05,"Rogers, Mr. William John",,0,0,3,S.C./A.4. 23567,S,0,46
,male,15.5,"Lennon, Mr. Denis",,0,1,3,370371,Q,0,47
,female,7.75,"O'Driscoll, Miss. Bridget",,0,0,3,14311,Q,1,48
,male,21.6792,"Samaan, Mr. Youssef",,0,2,3,2662,C,0,49
18.0,female,17.8,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",,0,1,3,349237,S,0,50
7.0,male,39.6875,"Panula, Master. Juha Niilo",,1,4,3,3101295,S,0,51
21.0,male,7.8,"Nosworthy, Mr. Richard Cater",,0,0,3,A/4. 39886,S,0,52
49.0,female,76.7292,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",D33,0,1,1,PC 17572,C,1,53
29.0,female,26.0,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",,0,1,2,2926,S,1,54
65.0,male,61.9792,"Ostby, Mr. Engelhart Cornelius",B30,1,0,1,113509,C,0,55
,male,35.5,"Woolner, Mr. Hugh",C52,0,0,1,19947,S,1,56
21.0,female,10.5,"Rugg, Miss. Emily",,0,0,2,C.A. 31026,S,1,57
28.5,male,7.2292,"Novel, Mr. Mansouer",,0,0,3,2697,C,0,58
5.0,female,27.75,"West, Miss. Constance Mirium",,2,1,2,C.A. 34651,S,1,59
11.0,male,46.9,"Goodwin, Master. William Frederick",,2,5,3,CA 2144,S,0,60
22.0,male,7.2292,"Sirayanian, Mr. Orsen",,0,0,3,2669,C,0,61
38.0,female,80.0,"Icard, Miss. Amelie",B28,0,0,1,113572,,1,62
45.0,male,83.475,"Harris, Mr. Henry Birkhardt",C83,0,1,1,36973,S,0,63
4.0,male,27.9,"Skoog, Master. Harald",,2,3,3,347088,S,0,64
,male,27.7208,"Stewart, Mr. Albert A",,0,0,1,PC 17605,C,0,65
,male,15.2458,"Moubarek, Master. Gerios",,1,1,3,2661,C,1,66
29.0,female,10.5,"Nye, Mrs. (Elizabeth Ramell)",F33,0,0,2,C.A. 29395,S,1,67
19.0,male,8.1583,"Crease, Mr. Ernest James",,0,0,3,S.P. 3464,S,0,68
17.0,female,7.925,"Andersson, Miss. Erna Alexandra",,2,4,3,3101281,S,1,69
26.0,male,8.6625,"Kink, Mr. Vincenz",,0,2,3,315151,S,0,70
32.0,male,10.5,"Jenkin, Mr. Stephen Curnow",,0,0,2,C.A. 33111,S,0,71
16.0,female,46.9,"Goodwin, Miss. Lillian Amy",,2,5,3,CA 2144,S,0,72
21.0,male,73.5,"Hood, Mr. Ambrose Jr",,0,0,2,S.O.C. 14879,S,0,73
26.0,male,14.4542,"Chronopoulos, Mr. Apostolos",,0,1,3,2680,C,0,74
32.0,male,56.4958,"Bing, Mr. Lee",,0,0,3,1601,S,1,75
25.0,male,7.65,"Moen, Mr. Sigurd Hansen",F G73,0,0,3,348123,S,0,76
,male,7.8958,"Staneff, Mr. Ivan",,0,0,3,349208,S,0,77
,male,8.05,"Moutal, Mr. Rahamin Haim",,0,0,3,374746,S,0,78
0.83,male,29.0,"Caldwell, Master. Alden Gates",,2,0,2,248738,S,1,79
30.0,female,12.475,"Dowdell, Miss. Elizabeth",,0,0,3,364516,S,1,80
22.0,male,9.0,"Waelens, Mr. Achille",,0,0,3,345767,S,0,81
29.0,male,9.5,"Sheerlinck, Mr. Jan Baptist",,0,0,3,345779,S,1,82
,female,7.7875,"McDermott, Miss. Brigdet Delia",,0,0,3,330932,Q,1,83
28.0,male,47.1,"Carrau, Mr. Francisco M",,0,0,1,113059,S,0,84
17.0,female,10.5,"Ilett, Miss. Bertha",,0,0,2,SO/C 14885,S,1,85
33.0,female,15.85,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",,0,3,3,3101278,S,1,86
16.0,male,34.375,"Ford, Mr. William Neal",,3,1,3,W./C. 6608,S,0,87
,male,8.05,"Slocovski, Mr. Selman Francis",,0,0,3,SOTON/OQ 392086,S,0,88
23.0,female,263.0,"Fortune, Miss. Mabel Helen",C23 C25 C27,2,3,1,19950,S,1,89
24.0,male,8.05,"Celotti, Mr. Francesco",,0,0,3,343275,S,0,90
29.0,male,8.05,"Christmann, Mr. Emil",,0,0,3,343276,S,0,91
20.0,male,7.8542,"Andreasson, Mr. Paul Edvin",,0,0,3,347466,S,0,92
46.0,male,61.175,"Chaffee, Mr. Herbert Fuller",E31,0,1,1,W.E.P. 5734,S,0,93
26.0,male,20.575,"Dean, Mr. Bertram Frank",,2,1,3,C.A. 2315,S,0,94
59.0,male,7.25,"Coxon, Mr. Daniel",,0,0,3,364500,S,0,95
,male,8.05,"Shorney, Mr. Charles Joseph",,0,0,3,374910,S,0,96
71.0,male,34.6542,"Goldschmidt, Mr. George B",A5,0,0,1,PC 17754,C,0,97
23.0,male,63.3583,"Greenfield, Mr. William Bertram",D10 D12,1,0,1,PC 17759,C,1,98
34.0,female,23.0,"Doling, Mrs. John T (Ada Julia Bone)",,1,0,2,231919,S,1,99
34.0,male,26.0,"Kantor, Mr. Sinai",,0,1,2,244367,S,0,100
28.0,female,7.8958,"Petranec, Miss. Matilda",,0,0,3,349245,S,0,101
,male,7.8958,"Petroff, Mr. Pastcho (""Pentcho"")",,0,0,3,349215,S,0,102
21.0,male,77.2875,"White, Mr. Richard Frasar",D26,1,0,1,35281,S,0,103
33.0,male,8.6542,"Johansson, Mr. Gustaf Joel",,0,0,3,7540,S,0,104
37.0,male,7.925,"Gustafsson, Mr. Anders Vilhelm",,0,2,3,3101276,S,0,105
28.0,male,7.8958,"Mionoff, Mr. Stoytcho",,0,0,3,349207,S,0,106
21.0,female,7.65,"Salkjelsvik, Miss. Anna Kristine",,0,0,3,343120,S,1,107
,male,7.775,"Moss, Mr. Albert Johan",,0,0,3,312991,S,1,108
38.0,male,7.8958,"Rekic, Mr. Tido",,0,0,3,349249,S,0,109
,female,24.15,"Moran, Miss. Bertha",,0,1,3,371110,Q,1,110
47.0,male,52.0,"Porter, Mr. Walter Chamberlain",C110,0,0,1,110465,S,0,111
14.5,female,14.4542,"Zabour, Miss. Hileni",,0,1,3,2665,C,0,112
22.0,male,8.05,"Barton, Mr. David John",,0,0,3,324669,S,0,113
20.0,female,9.825,"Jussila, Miss. Katriina",,0,1,3,4136,S,0,114
17.0,female,14.4583,"Attalah, Miss. Malake",,0,0,3,2627,C,0,115
21.0,male,7.925,"Pekoniemi, Mr. Edvard",,0,0,3,STON/O 2. 3101294,S,0,116
70.5,male,7.75,"Connors, Mr. Patrick",,0,0,3,370369,Q,0,117
29.0,male,21.0,"Turpin, Mr. William John Robert",,0,1,2,11668,S,0,118
24.0,male,247.5208,"Baxter, Mr. Quigg Edmond",B58 B60,1,0,1,PC 17558,C,0,119
2.0,female,31.275,"Andersson, Miss. Ellis Anna Maria",,2,4,3,347082,S,0,120
21.0,male,73.5,"Hickman, Mr. Stanley George",,0,2,2,S.O.C. 14879,S,0,121
,male,8.05,"Moore, Mr. Leonard Charles",,0,0,3,A4. 54510,S,0,122
32.5,male,30.0708,"Nasser, Mr. Nicholas",,0,1,2,237736,C,0,123
32.5,female,13.0,"Webber, Miss. Susan",E101,0,0,2,27267,S,1,124
54.0,male,77.2875,"White, Mr. Percival Wayland",D26,1,0,1,35281,S,0,125
12.0,male,11.2417,"Nicola-Yarred, Master. Elias",,0,1,3,2651,C,1,126
,male,7.75,"McMahon, Mr. Martin",,0,0,3,370372,Q,0,127
24.0,male,7.1417,"Madsen, Mr. Fridtjof Arne",,0,0,3,C 17369,S,1,128
,female,22.3583,"Peter, Miss. Anna",F E69,1,1,3,2668,C,1,129
45.0,male,6.975,"Ekstrom, Mr. Johan",,0,0,3,347061,S,0,130
33.0,male,7.8958,"Drazenoic, Mr. Jozef",,0,0,3,349241,C,0,131
20.0,male,7.05,"Coelho, Mr. Domingos Fernandeo",,0,0,3,SOTON/O.Q. 3101307,S,0,132
47.0,female,14.5,"Robins, Mrs. Alexander A (Grace Charity Laury)",,0,1,3,A/5. 3337,S,0,133
29.0,female,26.0,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",,0,1,2,228414,S,1,134
25.0,male,13.0,"Sobey, Mr. Samuel James Hayden",,0,0,2,C.A. 29178,S,0,135
23.0,male,15.0458,"Richard, Mr. Emile",,0,0,2,SC/PARIS 2133,C,0,136
19.0,female,26.2833,"Newsom, Miss. Helen Monypeny",D47,2,0,1,11752,S,1,137
37.0,male,53.1,"Futrelle, Mr. Jacques Heath",C123,0,1,1,113803,S,0,138
16.0,male,9.2167,"Osen, Mr. Olaf Elon",,0,0,3,7534,S,0,139
24.0,male,79.2,"Giglio, Mr. Victor",B86,0,0,1,PC 17593,C,0,140
,female,15.2458,"Boulos, Mrs. Joseph (Sultana)",,2,0,3,2678,C,0,141
22.0,female,7.75,"Nysten, Miss. Anna Sofia",,0,0,3,347081,S,1,142
24.0,female,15.85,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",,0,1,3,STON/O2. 3101279,S,1,143
19.0,male,6.75,"Burke, Mr. Jeremiah",,0,0,3,365222,Q,0,144
18.0,male,11.5,"Andrew, Mr. Edgardo Samuel",,0,0,2,231945,S,0,145
19.0,male,36.75,"Nicholls, Mr. Joseph Charles",,1,1,2,C.A. 33112,S,0,146
27.0,male,7.7958,"Andersson, Mr. August Edvard (""Wennerstrom"")",,0,0,3,350043,S,1,147
9.0,female,34.375,"Ford, Miss. Robina Maggie ""Ruby""",,2,2,3,W./C. 6608,S,0,148
36.5,male,26.0,"Navratil, Mr. Michel (""Louis M Hoffman"")",F2,2,0,2,230080,S,0,149
42.0,male,13.0,"Byles, Rev. Thomas Roussel Davids",,0,0,2,244310,S,0,150
51.0,male,12.525,"Bateman, Rev. Robert James",,0,0,2,S.O.P. 1166,S,0,151
22.0,female,66.6,"Pears, Mrs. Thomas (Edith Wearne)",C2,0,1,1,113776,S,1,152
55.5,male,8.05,"Meo, Mr. Alfonzo",,0,0,3,A.5. 11206,S,0,153
40.5,male,14.5,"van Billiard, Mr. Austin Blyler",,2,0,3,A/5. 851,S,0,154
,male,7.3125,"Olsen, Mr. Ole Martin",,0,0,3,Fa 265302,S,0,155
51.0,male,61.3792,"Williams, Mr. Charles Duane",,1,0,1,PC 17597,C,0,156
16.0,female,7.7333,"Gilnagh, Miss. Katherine ""Katie""",,0,0,3,35851,Q,1,157
30.0,male,8.05,"Corn, Mr. Harry",,0,0,3,SOTON/OQ 392090,S,0,158
,male,8.6625,"Smiljanic, Mr. Mile",,0,0,3,315037,S,0,159
,male,69.55,"Sage, Master. Thomas Henry",,2,8,3,CA. 2343,S,0,160
44.0,male,16.1,"Cribb, Mr. John Hatfield",,1,0,3,371362,S,0,161
40.0,female,15.75,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",,0,0,2,C.A. 33595,S,1,162
26.0,male,7.775,"Bengtsson, Mr. John Viktor",,0,0,3,347068,S,0,163
17.0,male,8.6625,"Calic, Mr. Jovo",,0,0,3,315093,S,0,164
1.0,male,39.6875,"Panula, Master. Eino Viljami",,1,4,3,3101295,S,0,165
9.0,male,20.525,"Goldsmith, Master. Frank John William ""Frankie""",,2,0,3,363291,S,1,166
,female,55.0,"Chibnall, Mrs. (Edith Martha Bowerman)",E33,1,0,1,113505,S,1,167
45.0,female,27.9,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",,4,1,3,347088,S,0,168
,male,25.925,"Baumann, Mr. John D",,0,0,1,PC 17318,S,0,169
28.0,male,56.4958,"Ling, Mr. Lee",,0,0,3,1601,S,0,170
61.0,male,33.5,"Van der hoef, Mr. Wyckoff",B19,0,0,1,111240,S,0,171
4.0,male,29.125,"Rice, Master. Arthur",,1,4,3,382652,Q,0,172
1.0,female,11.1333,"Johnson, Miss. Eleanor Ileen",,1,1,3,347742,S,1,173
21.0,male,7.925,"Sivola, Mr. Antti Wilhelm",,0,0,3,STON/O 2. 3101280,S,0,174
56.0,male,30.6958,"Smith, Mr. James Clinch",A7,0,0,1,17764,C,0,175
18.0,male,7.8542,"Klasen, Mr. Klas Albin",,1,1,3,350404,S,0,176
,male,25.4667,"Lefebre, Master. Henry Forbes",,1,3,3,4133,S,0,177
50.0,female,28.7125,"Isham, Miss. Ann Elizabeth",C49,0,0,1,PC 17595,C,0,178
30.0,male,13.0,"Hale, Mr. Reginald",,0,0,2,250653,S,0,179
36.0,male,0.0,"Leonard, Mr. Lionel",,0,0,3,LINE,S,0,180
,female,69.55,"Sage, Miss. Constance Gladys",,2,8,3,CA. 2343,S,0,181
,male,15.05,"Pernot, Mr. Rene",,0,0,2,SC/PARIS 2131,C,0,182
9.0,male,31.3875,"Asplund, Master. Clarence Gustaf Hugo",,2,4,3,347077,S,0,183
1.0,male,39.0,"Becker, Master. Richard F",F4,1,2,2,230136,S,1,184
4.0,female,22.025,"Kink-Heilmann, Miss. Luise Gretchen",,2,0,3,315153,S,1,185
,male,50.0,"Rood, Mr. Hugh Roscoe",A32,0,0,1,113767,S,0,186
,female,15.5,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",,0,1,3,370365,Q,1,187
45.0,male,26.55,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",,0,0,1,111428,S,1,188
40.0,male,15.5,"Bourke, Mr. John",,1,1,3,364849,Q,0,189
36.0,male,7.8958,"Turcin, Mr. Stjepan",,0,0,3,349247,S,0,190
32.0,female,13.0,"Pinsky, Mrs. (Rosa)",,0,0,2,234604,S,1,191
19.0,male,13.0,"Carbines, Mr. William",,0,0,2,28424,S,0,192
19.0,female,7.8542,"Andersen-Jensen, Miss. Carla Christine Nielsine",,0,1,3,350046,S,1,193
3.0,male,26.0,"Navratil, Master. Michel M",F2,1,1,2,230080,S,1,194
44.0,female,27.7208,"Brown, Mrs. James Joseph (Margaret Tobin)",B4,0,0,1,PC 17610,C,1,195
58.0,female,146.5208,"Lurette, Miss. Elise",B80,0,0,1,PC 17569,C,1,196
,male,7.75,"Mernagh, Mr. Robert",,0,0,3,368703,Q,0,197
42.0,male,8.4042,"Olsen, Mr. Karl Siegwart Andreas",,1,0,3,4579,S,0,198
,female,7.75,"Madigan, Miss. Margaret ""Maggie""",,0,0,3,370370,Q,1,199
24.0,female,13.0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",,0,0,2,248747,S,0,200
28.0,male,9.5,"Vande Walle, Mr. Nestor Cyriel",,0,0,3,345770,S,0,201
,male,69.55,"Sage, Mr. Frederick",,2,8,3,CA. 2343,S,0,202
34.0,male,6.4958,"Johanson, Mr. Jakob Alfred",,0,0,3,3101264,S,0,203
45.5,male,7.225,"Youseff, Mr. Gerious",,0,0,3,2628,C,0,204
18.0,male,8.05,"Cohen, Mr. Gurshon ""Gus""",,0,0,3,A/5 3540,S,1,205
2.0,female,10.4625,"Strom, Miss. Telma Matilda",G6,1,0,3,347054,S,0,206
32.0,male,15.85,"Backstrom, Mr. Karl Alfred",,0,1,3,3101278,S,0,207
26.0,male,18.7875,"Albimona, Mr. Nassef Cassem",,0,0,3,2699,C,1,208
16.0,female,7.75,"Carr, Miss. Helen ""Ellen""",,0,0,3,367231,Q,1,209
40.0,male,31.0,"Blank, Mr. Henry",A31,0,0,1,112277,C,1,210
24.0,male,7.05,"Ali, Mr. Ahmed",,0,0,3,SOTON/O.Q. 3101311,S,0,211
35.0,female,21.0,"Cameron, Miss. Clear Annie",,0,0,2,F.C.C. 13528,S,1,212
22.0,male,7.25,"Perkin, Mr. John Henry",,0,0,3,A/5 21174,S,0,213
30.0,male,13.0,"Givard, Mr. Hans Kristensen",,0,0,2,250646,S,0,214
,male,7.75,"Kiernan, Mr. Philip",,0,1,3,367229,Q,0,215
31.0,female,113.275,"Newell, Miss. Madeleine",D36,0,1,1,35273,C,1,216
27.0,female,7.925,"Honkanen, Miss. Eliina",,0,0,3,STON/O2. 3101283,S,1,217
42.0,male,27.0,"Jacobsohn, Mr. Sidney Samuel",,0,1,2,243847,S,0,218
32.0,female,76.2917,"Bazzani, Miss. Albina",D15,0,0,1,11813,C,1,219
30.0,male,10.5,"Harris, Mr. Walter",,0,0,2,W/C 14208,S,0,220
16.0,male,8.05,"Sunderland, Mr. Victor Francis",,0,0,3,SOTON/OQ 392089,S,1,221
27.0,male,13.0,"Bracken, Mr. James H",,0,0,2,220367,S,0,222
51.0,male,8.05,"Green, Mr. George Henry",,0,0,3,21440,S,0,223
,male,7.8958,"Nenkoff, Mr. Christo",,0,0,3,349234,S,0,224
38.0,male,90.0,"Hoyt, Mr. Frederick Maxfield",C93,0,1,1,19943,S,1,225
22.0,male,9.35,"Berglund, Mr. Karl Ivar Sven",,0,0,3,PP 4348,S,0,226
19.0,male,10.5,"Mellors, Mr. William John",,0,0,2,SW/PP 751,S,1,227
20.5,male,7.25,"Lovell, Mr. John Hall (""Henry"")",,0,0,3,A/5 21173,S,0,228
18.0,male,13.0,"Fahlstrom, Mr. Arne Jonas",,0,0,2,236171,S,0,229
,female,25.4667,"Lefebre, Miss. Mathilde",,1,3,3,4133,S,0,230
35.0,female,83.475,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",C83,0,1,1,36973,S,1,231
29.0,male,7.775,"Larsson, Mr. Bengt Edvin",,0,0,3,347067,S,0,232
59.0,male,13.5,"Sjostedt, Mr. Ernst Adolf",,0,0,2,237442,S,0,233
5.0,female,31.3875,"Asplund, Miss. Lillian Gertrud",,2,4,3,347077,S,1,234
24.0,male,10.5,"Leyson, Mr. Robert William Norman",,0,0,2,C.A. 29566,S,0,235
,female,7.55,"Harknett, Miss. Alice Phoebe",,0,0,3,W./C. 6609,S,0,236
44.0,male,26.0,"Hold, Mr. Stephen",,0,1,2,26707,S,0,237
8.0,female,26.25,"Collyer, Miss. Marjorie ""Lottie""",,2,0,2,C.A. 31921,S,1,238
19.0,male,10.5,"Pengelly, Mr. Frederick William",,0,0,2,28665,S,0,239
33.0,male,12.275,"Hunt, Mr. George Henry",,0,0,2,SCO/W 1585,S,0,240
,female,14.4542,"Zabour, Miss. Thamine",,0,1,3,2665,C,0,241
,female,15.5,"Murphy, Miss. Katherine ""Kate""",,0,1,3,367230,Q,1,242
29.0,male,10.5,"Coleridge, Mr. Reginald Charles",,0,0,2,W./C. 14263,S,0,243
22.0,male,7.125,"Maenpaa, Mr. Matti Alexanteri",,0,0,3,STON/O 2. 3101275,S,0,244
30.0,male,7.225,"Attalah, Mr. Sleiman",,0,0,3,2694,C,0,245
44.0,male,90.0,"Minahan, Dr. William Edward",C78,0,2,1,19928,Q,0,246
25.0,female,7.775,"Lindahl, Miss. Agda Thorilda Viktoria",,0,0,3,347071,S,0,247
24.0,female,14.5,"Hamalainen, Mrs. William (Anna)",,2,0,2,250649,S,1,248
37.0,male,52.5542,"Beckwith, Mr. Richard Leonard",D35,1,1,1,11751,S,1,249
54.0,male,26.0,"Carter, Rev. Ernest Courtenay",,0,1,2,244252,S,0,250
,male,7.25,"Reed, Mr. James George",,0,0,3,362316,S,0,251
29.0,female,10.4625,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",G6,1,1,3,347054,S,0,252
62.0,male,26.55,"Stead, Mr. William Thomas",C87,0,0,1,113514,S,0,253
30.0,male,16.1,"Lobb, Mr. William Arthur",,0,1,3,A/5. 3336,S,0,254
41.0,female,20.2125,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",,2,0,3,370129,S,0,255
29.0,female,15.2458,"Touma, Mrs. Darwis (Hanne Youssef Razi)",,2,0,3,2650,C,1,256
,female,79.2,"Thorne, Mrs. Gertrude Maybelle",,0,0,1,PC 17585,C,1,257
30.0,female,86.5,"Cherry, Miss. Gladys",B77,0,0,1,110152,S,1,258
35.0,female,512.3292,"Ward, Miss. Anna",,0,0,1,PC 17755,C,1,259
50.0,female,26.0,"Parrish, Mrs. (Lutie Davis)",,1,0,2,230433,S,1,260
,male,7.75,"Smith, Mr. Thomas",,0,0,3,384461,Q,0,261
3.0,male,31.3875,"Asplund, Master. Edvin Rojj Felix",,2,4,3,347077,S,1,262
52.0,male,79.65,"Taussig, Mr. Emil",E67,1,1,1,110413,S,0,263
40.0,male,0.0,"Harrison, Mr. William",B94,0,0,1,112059,S,0,264
,female,7.75,"Henry, Miss. Delia",,0,0,3,382649,Q,0,265
36.0,male,10.5,"Reeves, Mr. David",,0,0,2,C.A. 17248,S,0,266
16.0,male,39.6875,"Panula, Mr. Ernesti Arvid",,1,4,3,3101295,S,0,267
25.0,male,7.775,"Persson, Mr. Ernst Ulrik",,0,1,3,347083,S,1,268
58.0,female,153.4625,"Graham, Mrs. William Thompson (Edith Junkins)",C125,1,0,1,PC 17582,S,1,269
35.0,female,135.6333,"Bissette, Miss. Amelia",C99,0,0,1,PC 17760,S,1,270
,male,31.0,"Cairns, Mr. Alexander",,0,0,1,113798,S,0,271
25.0,male,0.0,"Tornquist, Mr. William Henry",,0,0,3,LINE,S,1,272
41.0,female,19.5,"Mellinger, Mrs. (Elizabeth Anne Maidment)",,1,0,2,250644,S,1,273
37.0,male,29.7,"Natsch, Mr. Charles H",C118,1,0,1,PC 17596,C,0,274
,female,7.75,"Healy, Miss. Hanora ""Nora""",,0,0,3,370375,Q,1,275
63.0,female,77.9583,"Andrews, Miss. Kornelia Theodosia",D7,0,1,1,13502,S,1,276
45.0,female,7.75,"Lindblom, Miss. Augusta Charlotta",,0,0,3,347073,S,0,277
,male,0.0,"Parkes, Mr. Francis ""Frank""",,0,0,2,239853,S,0,278
7.0,male,29.125,"Rice, Master. Eric",,1,4,3,382652,Q,0,279
35.0,female,20.25,"Abbott, Mrs. Stanton (Rosa Hunt)",,1,1,3,C.A. 2673,S,1,280
65.0,male,7.75,"Duane, Mr. Frank",,0,0,3,336439,Q,0,281
28.0,male,7.8542,"Olsson, Mr. Nils Johan Goransson",,0,0,3,347464,S,0,282
16.0,male,9.5,"de Pelsmaeker, Mr. Alfons",,0,0,3,345778,S,0,283
19.0,male,8.05,"Dorking, Mr. Edward Arthur",,0,0,3,A/5. 10482,S,1,284
,male,26.0,"Smith, Mr. Richard William",A19,0,0,1,113056,S,0,285
33.0,male,8.6625,"Stankovic, Mr. Ivan",,0,0,3,349239,C,0,286
30.0,male,9.5,"de Mulder, Mr. Theodore",,0,0,3,345774,S,1,287
22.0,male,7.8958,"Naidenoff, Mr. Penko",,0,0,3,349206,S,0,288
42.0,male,13.0,"Hosono, Mr. Masabumi",,0,0,2,237798,S,1,289
22.0,female,7.75,"Connolly, Miss. Kate",,0,0,3,370373,Q,1,290
26.0,female,78.85,"Barber, Miss. Ellen ""Nellie""",,0,0,1,19877,S,1,291
19.0,female,91.0792,"Bishop, Mrs. Dickinson H (Helen Walton)",B49,0,1,1,11967,C,1,292
36.0,male,12.875,"Levy, Mr. Rene Jacques",D,0,0,2,SC/Paris 2163,C,0,293
24.0,female,8.85,"Haas, Miss. Aloisia",,0,0,3,349236,S,0,294
24.0,male,7.8958,"Mineff, Mr. Ivan",,0,0,3,349233,S,0,295
,male,27.7208,"Lewy, Mr. Ervin G",,0,0,1,PC 17612,C,0,296
23.5,male,7.2292,"Hanna, Mr. Mansour",,0,0,3,2693,C,0,297
2.0,female,151.55,"Allison, Miss. Helen Loraine",C22 C26,2,1,1,113781,S,0,298
